Ad,name,anothername,level,apac,pac,parentPac
110000000000,北京市,北京,2,110000000000,110000000000,000000000000
120000000000,天津市,天津,2,120000000000,120000000000,000000000000
130000000000,河北省,河北,2,130000000000,130000000000,000000000000
140000000000,山西省,山西,2,140000000000,140000000000,000000000000
150000000000,内蒙古自治区,内蒙古,2,150000000000,150000000000,000000000000
210000000000,辽宁省,辽宁,2,210000000000,210000000000,000000000000
220000000000,吉林省,吉林,2,220000000000,220000000000,000000000000
230000000000,黑龙江省,黑龙江,2,230000000000,230000000000,000000000000
310000000000,上海市,上海,2,310000000000,310000000000,000000000000
320000000000,江苏省,江苏,2,320000000000,320000000000,000000000000
330000000000,浙江省,浙江,2,330000000000,330000000000,000000000000
340000000000,安徽省,安徽,2,340000000000,340000000000,000000000000
350000000000,福建省,福建,2,350000000000,350000000000,000000000000
360000000000,江西省,江西,2,360000000000,360000000000,000000000000
370000000000,山东省,山东,2,370000000000,370000000000,000000000000
410000000000,河南省,河南,2,410000000000,410000000000,000000000000
420000000000,湖北省,湖北,2,420000000000,420000000000,000000000000
430000000000,湖南省,湖南,2,430000000000,430000000000,000000000000
440000000000,广东省,广东,2,440000000000,440000000000,000000000000
450000000000,广西壮族自治区,广西,2,450000000000,450000000000,000000000000
460000000000,海南省,海南,2,460000000000,460000000000,000000000000
500000000000,重庆市,重庆,2,500000000000,500000000000,000000000000
510000000000,四川省,四川,2,510000000000,510000000000,000000000000
520000000000,贵州省,贵州,2,520000000000,520000000000,000000000000
530000000000,云南省,云南,2,530000000000,530000000000,000000000000
540000000000,西藏自治区,西藏,2,540000000000,540000000000,000000000000
610000000000,陕西省,陕西,2,610000000000,610000000000,000000000000
620000000000,甘肃省,甘肃,2,620000000000,620000000000,000000000000
630000000000,青海省,青海,2,630000000000,630000000000,000000000000
640000000000,宁夏回族自治区,宁夏,2,640000000000,640000000000,000000000000
650000000000,新疆维吾尔自治区,新疆,2,650000000000,650000000000,000000000000
