Ad,name,anothername,parentPac,level,pac,cpac
110101000000,东城区,东城,110100000000,4,110101000000,110101000000
110102000000,西城区,西城,110100000000,4,110102000000,110102000000
110105000000,朝阳区,朝阳,110100000000,4,110105000000,110105000000
110106000000,丰台区,丰台,110100000000,4,110106000000,110106000000
110107000000,石景山区,石景山,110100000000,4,110107000000,110107000000
110108000000,海淀区,海淀,110100000000,4,110108000000,110108000000
110109000000,门头沟区,门头沟,110100000000,4,110109000000,110109000000
110111000000,房山区,房山,110100000000,4,110111000000,110111000000
110112000000,通州区,通州,110100000000,4,110112000000,110112000000
110113000000,顺义区,顺义,110100000000,4,110113000000,110113000000
110114000000,昌平区,昌平,110100000000,4,110114000000,110114000000
110115000000,大兴区,大兴,110100000000,4,110115000000,110115000000
110116000000,怀柔区,怀柔,110100000000,4,110116000000,110116000000
110117000000,平谷区,平谷,110100000000,4,110117000000,110117000000
110118000000,密云区,密云,110100000000,4,110118000000,110118000000
110119000000,延庆区,延庆,110100000000,4,110119000000,110119000000
120101000000,和平区,和平,120100000000,4,120101000000,120101000000
120102000000,河东区,河东,120100000000,4,120102000000,120102000000
120103000000,河西区,河西,120100000000,4,120103000000,120103000000
120104000000,南开区,南开,120100000000,4,120104000000,120104000000
120105000000,河北区,河北,120100000000,4,120105000000,120105000000
120106000000,红桥区,红桥,120100000000,4,120106000000,120106000000
120110000000,东丽区,东丽,120100000000,4,120110000000,120110000000
120111000000,西青区,西青,120100000000,4,120111000000,120111000000
120112000000,津南区,津南,120100000000,4,120112000000,120112000000
120113000000,北辰区,北辰,120100000000,4,120113000000,120113000000
120114000000,武清区,武清,120100000000,4,120114000000,120114000000
120115000000,宝坻区,宝坻,120100000000,4,120115000000,120115000000
120116000000,滨海新区,滨海,120100000000,4,120116000000,120116000000
120117000000,宁河区,宁河,120100000000,4,120117000000,120117000000
120118000000,静海区,静海,120100000000,4,120118000000,120118000000
120119000000,蓟州区,蓟州,120100000000,4,120119000000,120119000000
