Ad,name,anothername,parentPac,level,pac,dpac
110101001000,东华门街道,东华门,110101000000,5,110101001000,110101001000
110101002000,景山街道,景山,110101000000,5,110101002000,110101002000
110101003000,交道口街道,交道口,110101000000,5,110101003000,110101003000
110101004000,安定门街道,安定门,110101000000,5,110101004000,110101004000
110101005000,北新桥街道,北新桥,110101000000,5,110101005000,110101005000
110101006000,东四街道,东四,110101000000,5,110101006000,110101006000
110101007000,朝阳门街道,朝阳门,110101000000,5,110101007000,110101007000
110101008000,建国门街道,建国门,110101000000,5,110101008000,110101008000
110101009000,东直门街道,东直门,110101000000,5,110101009000,110101009000
110101010000,和平里街道,和平里,110101000000,5,110101010000,110101010000
110101011000,前门街道,前门,110101000000,5,110101011000,110101011000
110101012000,崇文门外街道,崇文门外,110101000000,5,110101012000,110101012000
110101013000,东花市街道,东花市,110101000000,5,110101013000,110101013000
110101014000,龙潭街道,龙潭,110101000000,5,110101014000,110101014000
110101015000,体育馆路街道,体育馆路,110101000000,5,110101015000,110101015000
110101016000,天坛街道,天坛,110101000000,5,110101016000,110101016000
110101017000,永定门外街道,永定门外,110101000000,5,110101017000,110101017000
110102001000,西长安街街道,西长安街,110102000000,5,110102001000,110102001000
110102003000,新街口街道,新街口,110102000000,5,110102003000,110102003000
110102007000,月坛街道,月坛,110102000000,5,110102007000,110102007000
110102009000,展览路街道,展览路,110102000000,5,110102009000,110102009000
110102010000,德胜街道,德胜,110102000000,5,110102010000,110102010000
110102011000,金融街街道,金融街,110102000000,5,110102011000,110102011000
110102012000,什刹海街道,什刹海,110102000000,5,110102012000,110102012000
110102013000,大栅栏街道,大栅栏,110102000000,5,110102013000,110102013000
110102014000,天桥街道,天桥,110102000000,5,110102014000,110102014000
110102015000,椿树街道,椿树,110102000000,5,110102015000,110102015000
110102016000,陶然亭街道,陶然亭,110102000000,5,110102016000,110102016000
110102017000,广安门内街道,广安门内,110102000000,5,110102017000,110102017000
110102018000,牛街街道,牛街,110102000000,5,110102018000,110102018000
110102019000,白纸坊街道,白纸坊,110102000000,5,110102019000,110102019000
110102020000,广安门外街道,广安门外,110102000000,5,110102020000,110102020000
110105001000,建外街道,建外,110105000000,5,110105001000,110105001000
110105002000,朝外街道,朝外,110105000000,5,110105002000,110105002000
110105003000,呼家楼街道,呼家楼,110105000000,5,110105003000,110105003000
110105004000,三里屯街道,三里屯,110105000000,5,110105004000,110105004000
110105005000,左家庄街道,左家庄,110105000000,5,110105005000,110105005000
110105006000,香河园街道,香河园,110105000000,5,110105006000,110105006000
110105007000,和平街街道,和平街,110105000000,5,110105007000,110105007000
110105008000,安贞街道,安贞,110105000000,5,110105008000,110105008000
110105009000,亚运村街道,亚运村,110105000000,5,110105009000,110105009000
110105010000,小关街道,小关,110105000000,5,110105010000,110105010000
110105011000,酒仙桥街道,酒仙桥,110105000000,5,110105011000,110105011000
110105012000,麦子店街道,麦子店,110105000000,5,110105012000,110105012000
