,,,,,region1,,region2
 ['东城区', 110000, '北京市']和['西城区', '北京市']相邻, 东城区,110101000000, 西城区,110102000000
 ['东城区', 110000, '北京市']和['朝阳区', '北京市']相邻, 东城区,110101000000, 朝阳区,110105000000
 ['东城区', 110000, '北京市']和['丰台区', '北京市']相邻, 东城区,110101000000, 丰台区,110106000000
 ['西城区', 110000, '北京市']和['海淀区', '北京市']相邻, 西城区,110102000000, 海淀区,110108000000
 ['西城区', 110000, '北京市']和['朝阳区', '北京市']相邻, 西城区,110102000000, 朝阳区,110105000000
 ['西城区', 110000, '北京市']和['丰台区', '北京市']相邻, 西城区,110102000000, 丰台区,110106000000
 ['朝阳区', 110000, '北京市']和['昌平区', '北京市']相邻, 朝阳区,110105000000, 昌平区,110114000000
 ['朝阳区', 110000, '北京市']和['大兴区', '北京市']相邻, 朝阳区,110105000000, 大兴区,110115000000
 ['朝阳区', 110000, '北京市']和['通州区', '北京市']相邻, 朝阳区,110105000000, 通州区,110112000000
 ['朝阳区', 110000, '北京市']和['海淀区', '北京市']相邻, 朝阳区,110105000000, 海淀区,110108000000
 ['朝阳区', 110000, '北京市']和['丰台区', '北京市']相邻, 朝阳区,110105000000, 丰台区,110106000000
 ['丰台区', 110000, '北京市']和['门头沟区', '北京市']相邻, 丰台区,110106000000, 门头沟区,110109000000
 ['丰台区', 110000, '北京市']和['石景山区', '北京市']相邻, 丰台区,110106000000, 石景山区,110107000000
 ['丰台区', 110000, '北京市']和['大兴区', '北京市']相邻, 丰台区,110106000000, 大兴区,110115000000
 ['丰台区', 110000, '北京市']和['海淀区', '北京市']相邻, 丰台区,110106000000, 海淀区,110108000000
 ['丰台区', 110000, '北京市']和['房山区', '北京市']相邻, 丰台区,110106000000, 房山区,110111000000
 ['石景山区', 110000, '北京市']和['门头沟区', '北京市']相邻, 石景山区,110107000000, 门头沟区,110109000000
 ['石景山区', 110000, '北京市']和['海淀区', '北京市']相邻, 石景山区,110107000000, 海淀区,110108000000
 ['海淀区', 110000, '北京市']和['门头沟区', '北京市']相邻, 海淀区,110108000000, 门头沟区,110109000000
 ['海淀区', 110000, '北京市']和['昌平区', '北京市']相邻, 海淀区,110108000000, 昌平区,110114000000
 ['门头沟区', 110000, '北京市']和['昌平区', '北京市']相邻, 门头沟区,110109000000, 昌平区,110114000000
 ['门头沟区', 110000, '北京市']和['房山区', '北京市']相邻, 门头沟区,110109000000, 房山区,110111000000
 ['门头沟区', 110000, '北京市']和['涞水县', '河北省']相邻, 门头沟区,110109000000, 涞水县,130623000000
 ['门头沟区', 110000, '北京市']和['怀来县', '河北省']相邻, 门头沟区,110109000000, 怀来县,130730000000
 ['门头沟区', 110000, '北京市']和['涿鹿县', '河北省']相邻, 门头沟区,110109000000, 涿鹿县,130731000000
 ['房山区', 110000, '北京市']和['涞水县', '河北省']相邻, 房山区,110111000000, 涞水县,130623000000
 ['房山区', 110000, '北京市']和['大兴区', '北京市']相邻, 房山区,110111000000, 大兴区,110115000000
 ['房山区', 110000, '北京市']和['涿州市', '河北省']相邻, 房山区,110111000000, 涿州市,130681000000
 ['通州区', 110000, '北京市']和['顺义区', '北京市']相邻, 通州区,110112000000, 顺义区,110113000000
 ['通州区', 110000, '北京市']和['香河县', '河北省']相邻, 通州区,110112000000, 香河县,131024000000
 ['通州区', 110000, '北京市']和['三河市', '河北省']相邻, 通州区,110112000000, 三河市,131082000000
 ['通州区', 110000, '北京市']和['大兴区', '北京市']相邻, 通州区,110112000000, 大兴区,110115000000
 ['通州区', 110000, '北京市']和['武清区', '天津市']相邻, 通州区,110112000000, 武清区,120114000000
 ['通州区', 110000, '北京市']和['大厂回族自治县', '河北省']相邻, 通州区,110112000000, 大厂回族自治县,131028000000
 ['通州区', 110000, '北京市']和['广阳区', '河北省']相邻, 通州区,110112000000, 广阳区,131003000000
 ['顺义区', 110000, '北京市']和['昌平区', '北京市']相邻, 顺义区,110113000000, 昌平区,110114000000
 ['顺义区', 110000, '北京市']和['三河市', '河北省']相邻, 顺义区,110113000000, 三河市,131082000000
 ['顺义区', 110000, '北京市']和['平谷区', '北京市']相邻, 顺义区,110113000000, 平谷区,110117000000
 ['顺义区', 110000, '北京市']和['密云区', '北京市']相邻, 顺义区,110113000000, 密云区,110118000000
 ['顺义区', 110000, '北京市']和['怀柔区', '北京市']相邻, 顺义区,110113000000, 怀柔区,110116000000
 ['昌平区', 110000, '北京市']和['怀柔区', '北京市']相邻, 昌平区,110114000000, 怀柔区,110116000000
 ['昌平区', 110000, '北京市']和['延庆区', '北京市']相邻, 昌平区,110114000000, 延庆区,110119000000
 ['昌平区', 110000, '北京市']和['怀来县', '河北省']相邻, 昌平区,110114000000, 怀来县,130730000000
 ['大兴区', 110000, '北京市']和['固安县', '河北省']相邻, 大兴区,110115000000, 固安县,131022000000
 ['大兴区', 110000, '北京市']和['广阳区', '河北省']相邻, 大兴区,110115000000, 广阳区,131003000000
 ['大兴区', 110000, '北京市']和['涿州市', '河北省']相邻, 大兴区,110115000000, 涿州市,130681000000
 ['怀柔区', 110000, '北京市']和['密云区', '北京市']相邻, 怀柔区,110116000000, 密云区,110118000000
 ['怀柔区', 110000, '北京市']和['延庆区', '北京市']相邻, 怀柔区,110116000000, 延庆区,110119000000
 ['怀柔区', 110000, '北京市']和['丰宁满族自治县', '河北省']相邻, 怀柔区,110116000000, 丰宁满族自治县,130826000000
 ['怀柔区', 110000, '北京市']和['滦平县', '河北省']相邻, 怀柔区,110116000000, 滦平县,130824000000
 ['怀柔区', 110000, '北京市']和['赤城县', '河北省']相邻, 怀柔区,110116000000, 赤城县,130732000000
 ['平谷区', 110000, '北京市']和['密云区', '北京市']相邻, 平谷区,110117000000, 密云区,110118000000
 ['平谷区', 110000, '北京市']和['蓟州区', '天津市']相邻, 平谷区,110117000000, 蓟州区,120119000000
 ['平谷区', 110000, '北京市']和['三河市', '河北省']相邻, 平谷区,110117000000, 三河市,131082000000
